arate_comp,arate_est,rrate_comp,rrate_est
0.918333333,0.93,0.498333333,0.49
0.7,0.744166667,0.509166667,0.501666667
0.675833333,0.736666667,0.496666667,0.503333333
0.663333333,0.6875,0.498333333,0.4925
0.651666667,0.644166667,0.504166667,0.500833333
0.601666667,0.619166667,0.5025,0.510833333
0.5875,0.645,0.495,0.473333333
0.589166667,0.591666667,0.484166667,0.4725
0.554166667,0.573333333,0.4775,0.4725
0.539166667,0.533333333,0.48,0.45
0.531666667,0.5225,0.463333333,0.446666667
0.533333333,0.536666667,0.439166667,0.46
0.4975,0.473333333,0.494166667,0.460833333
0.469166667,0.470833333,0.47,0.4525
0.46,0.485,0.475833333,0.441666667
0.459166667,0.453333333,0.456666667,0.4625
0.458333333,0.425833333,0.464166667,0.445833333
0.435833333,0.468333333,0.471666667,0.440833333
0.405,0.4625,0.466666667,0.438333333
0.426666667,0.413333333,0.44,0.418333333
0.405833333,0.394166667,0.466666667,0.444166667
0.420833333,0.390833333,0.4475,0.410833333
0.400833333,0.400833333,0.434166667,0.406666667
0.405833333,0.3525,0.431666667,0.426666667
0.381666667,0.385,0.4475,0.413333333
0.376666667,0.38,0.419166667,0.41
0.39,0.344166667,0.430833333,0.411666667
0.364166667,0.3425,0.411666667,0.389166667
0.3725,0.350833333,0.42,0.4
0.365833333,0.340833333,0.434166667,0.3775
0.340833333,0.361666667,0.41,0.366666667
0.32,0.3425,0.4025,0.379166667
0.3325,0.315,0.4175,0.3775
0.355,0.32,0.4325,0.380833333
0.326666667,0.3125,0.430833333,0.389166667
0.3025,0.3025,0.425,0.399166667
0.32,0.295,0.428333333,0.3775
0.314166667,0.313333333,0.421666667,0.368333333
0.2975,0.296666667,0.4225,0.375
0.3125,0.263333333,0.415833333,0.378333333
0.295,0.2875,0.403333333,0.409166667
0.306666667,0.265,0.41,0.384166667
0.298333333,0.264166667,0.385833333,0.368333333
0.271666667,0.269166667,0.404166667,0.379166667
0.29,0.271666667,0.4325,0.365
0.290833333,0.270833333,0.4175,0.374166667
0.309166667,0.29,0.414166667,0.334166667
0.2775,0.271666667,0.409166667,0.321666667
0.280833333,0.258333333,0.416666667,0.374166667
0.298333333,0.255,0.42,0.34
0.264166667,0.258333333,0.4,0.343333333
0.2825,0.258333333,0.398333333,0.361666667
0.281666667,0.25,0.400833333,0.346666667
0.286666667,0.224166667,0.401666667,0.35
0.268333333,0.2525,0.3975,0.355833333
0.269166667,0.259166667,0.404166667,0.356666667
0.2725,0.274166667,0.394166667,0.353333333
0.269166667,0.25,0.395,0.34
0.294166667,0.223333333,0.3975,0.341666667
0.265,0.231666667,0.396666667,0.336666667
0.240833333,0.244166667,0.394166667,0.3325
0.236666667,0.230833333,0.390833333,0.341666667
0.245833333,0.2475,0.424166667,0.335833333
0.2425,0.265,0.388333333,0.33
0.259166667,0.241666667,0.405833333,0.3275
0.255833333,0.2175,0.398333333,0.365
0.2575,0.235,0.410833333,0.3425
0.251666667,0.235833333,0.395833333,0.3425
0.223333333,0.22,0.4025,0.3225
0.231666667,0.2025,0.415,0.326666667
0.229166667,0.228333333,0.395,0.330833333
0.243333333,0.2275,0.38,0.331666667
0.258333333,0.2175,0.381666667,0.336666667
0.2375,0.2325,0.3975,0.3475
0.223333333,0.200833333,0.389166667,0.334166667
0.234166667,0.206666667,0.390833333,0.326666667
0.22,0.22,0.394166667,0.338333333
0.223333333,0.205833333,0.385833333,0.341666667
0.204166667,0.220833333,0.386666667,0.344166667
0.225833333,0.210833333,0.358333333,0.3375
0.233333333,0.198333333,0.376666667,0.33
0.2375,0.200833333,0.4,0.3225
0.223333333,0.201666667,0.3925,0.320833333
0.234166667,0.1925,0.38,0.329166667
0.233333333,0.190833333,0.39,0.316666667
0.225,0.219166667,0.3725,0.324166667
0.210833333,0.216666667,0.390833333,0.33
0.198333333,0.208333333,0.379166667,0.340833333
0.215,0.183333333,0.38,0.331666667
0.218333333,0.179166667,0.381666667,0.306666667
0.2125,0.1825,0.385833333,0.325833333
0.2275,0.189166667,0.389166667,0.305833333
0.229166667,0.174166667,0.385,0.323333333
0.206666667,0.1875,0.39,0.3225
0.215833333,0.223333333,0.3825,0.3225
0.193333333,0.208333333,0.380833333,0.319166667
0.2,0.205833333,0.385,0.315
0.205833333,0.204166667,0.369166667,0.31
0.215833333,0.22,0.386666667,0.313333333
0.3,0.3,0.376666667,0.33
